model,region,cost,sustainability,timestamp
lstm,Amsterdam,0.72,0.9,2025-03-08 15:43:53.054361
lstm,USA,0.443,0.7,2025-03-08 15:45:56.392946
linear,India,0.298,0.5,2025-03-08 15:47:59.343190
lstm,USA,0.466,0.7,2025-03-08 16:14:14.262654
svm,Amsterdam,0.657,0.9,2025-03-08 16:18:50.698702
linear,Amsterdam,0.643,0.9,2025-03-08 16:22:57.148140
linear,USA,0.516,0.7,2025-03-08 16:29:39.321899
linear,Amsterdam,0.652,0.9,2025-03-08 16:31:42.866496
linear,India,0.251,0.5,2025-03-08 16:33:46.563674
linear,Amsterdam,0.618,0.9,2025-03-08 16:37:53.382195
linear,Amsterdam,0.738,0.9,2025-03-08 16:39:56.776846
linear,USA,0.454,0.7,2025-03-08 16:42:00.141674
linear,USA,0.465,0.7,2025-03-08 16:44:03.406990
